Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2
ComPACT_G183.321-36.676,57.25,4.60833,24,0.9752344489097596,SZ_G183.34-36.68,,
ComPACT_G79.749-66.398,356.75,-9.09167,26,0.9838392734527588,SZ_G079.58-66.44,,
ComPACT_G193.463-69.808,32.99167,-19.0,44,0.9496707320213318,SZ_G193.65-69.79,,
ComPACT_G80.630-54.664,349.95,0.5,56,0.9983243346214294,SZ_G080.69-54.68,ACT-CL J2319.7+0030,
ComPACT_G229.13631.770,138.1,1.65833,34,0.978501796722412,SZ_G229.13+31.76,,
ComPACT_G71.458-59.156,349.06667,-6.15833,34,0.9940358400344848,SZ_G071.43-59.13,ACT-CL J2316.2-0609,
ComPACT_G210.092-15.422,87.83333,-4.51667,24,0.9593459367752076,SZ_G210.12-15.40,,
ComPACT_G355.82862.514,214.74167,9.01667,42,0.998815894126892,SZ_G355.74+62.46,ACT-CL J1418.9+0900,
ComPACT_G236.99350.482,157.03333,6.94167,23,0.8984447717666626,SZ_G237.04+50.46,,
ComPACT_G131.139-75.572,14.95,-12.83333,31,0.9595922827720642,SZ_G131.30-75.50,,
ComPACT_G165.653-46.283,41.05,7.025,21,0.8446441888809204,SZ_G165.64-46.35,,
ComPACT_G28.92753.866,231.43333,19.36667,34,0.9844427704811096,SZ_G029.04+53.91,,
ComPACT_G174.759-76.597,23.93333,-18.425,26,0.9809118509292604,SZ_G174.98-76.65,,
ComPACT_G218.27224.784,127.34167,6.65833,24,0.927810788154602,SZ_G218.21+24.83,,
ComPACT_G230.517-44.463,65.2,-30.75,25,0.9842635989189148,SZ_G230.57-44.52,ACT-CL J0420.7-3044,
ComPACT_G289.90571.713,188.75,9.25833,44,0.9989823698997498,SZ_G289.99+71.67,ACT-CL J1234.9+0915,
ComPACT_G84.242-46.463,347.05,8.50833,23,0.9748695492744446,SZ_G084.22-46.45,,
ComPACT_G209.39433.077,131.78333,17.15,34,0.9650979042053224,SZ_G209.36+33.09,,
ComPACT_G235.88061.654,166.11667,13.68333,31,0.9769540429115297,SZ_G235.89+61.59,,
ComPACT_G355.93745.676,226.825,-2.75,21,0.90685772895813,SZ_G355.98+45.73,,
ComPACT_G351.31760.434,214.63333,6.025,23,0.9808850288391112,SZ_G351.44+60.48,,
ComPACT_G225.31048.307,151.175,12.33333,32,0.987038791179657,SZ_G225.35+48.36,,
ComPACT_G146.372-49.422,28.125,10.65,23,0.9596630930900574,SZ_G146.37-49.46,,
ComPACT_G144.047-43.634,28.65,16.63333,27,0.9912680387496948,SZ_G144.13-43.61,,
