Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2,Priority
ComPACT_G207.604-22.813,80.15,-5.775,32,0.8145594596862793,SZ_G207.64-22.81,,,1
ComPACT_G215.257-26.099,80.18333,-13.475,63,0.999541997909546,SZ_G215.24-26.13,ACT-CL J0520.7-1328,PSZ2 G215.24-26.10,1
ComPACT_G354.085-50.086,327.825,-45.06667,26,0.9806053638458252,SZ_G354.14-50.09,,,2
ComPACT_G231.052-17.335,94.71667,-23.58333,61,0.9995643496513368,SZ_G231.06-17.37,,PSZ2 G231.05-17.32,1
ComPACT_G263.130-23.428,99.7,-53.96667,91,0.9993122816085817,SZ_G263.14-23.46,ACT-CL J0638.7-5358,PSZ2 G263.14-23.41,1
ComPACT_G248.51075.832,180.75,18.38333,32,0.986865222454071,SZ_G248.44+75.80,,,1
ComPACT_G325.34760.694,203.61667,-0.29167,35,0.9958576560020448,SZ_G325.40+60.72,,,1
ComPACT_G245.92849.741,160.01667,1.99167,25,0.9830668568611144,SZ_G245.92+49.78,,,3
ComPACT_G267.670-22.440,103.33333,-57.75,48,0.997768759727478,SZ_G267.69-22.47,ACT-CL J0653.3-5745,,1
ComPACT_G11.13166.157,215.9,16.46667,59,0.9984003901481628,SZ_G011.17+66.19,ACT-CL J1423.5+1627,,1
ComPACT_G45.474-70.937,352.80833,-21.58333,22,0.9492604732513428,SZ_G045.38-70.95,,,3
ComPACT_G111.318-44.310,4.15833,17.775,28,0.9103334546089172,SZ_G111.31-44.28,,,2
ComPACT_G118.076-46.131,9.35,16.60833,24,0.9762212634086608,SZ_G118.04-46.15,,,3
ComPACT_G208.283-18.756,84.06667,-4.49167,29,0.8739969730377197,SZ_G208.26-18.78,,,2
ComPACT_G189.112-38.865,58.28333,-0.35833,23,0.910085678100586,SZ_G189.10-38.90,,,3
ComPACT_G246.46667.710,173.875,13.61667,30,0.9659198522567748,SZ_G246.55+67.73,,,2
ComPACT_G129.779-79.939,14.10833,-17.13333,39,0.9975641965866088,SZ_G129.58-79.94,ACT-CL J0056.4-1708,,1
ComPACT_G258.310-37.863,75.25,-51.25833,25,0.9351876378059388,SZ_G258.31-37.90,ACT-CL J0500.9-5116,,3
ComPACT_G80.630-54.664,349.95,0.5,56,0.9983243346214294,SZ_G080.69-54.68,ACT-CL J2319.7+0030,,1
ComPACT_G20.48720.723,258.85,-1.03333,22,0.9808995723724364,SZ_G020.46+20.74,,,3
ComPACT_G359.89759.121,218.625,8.18333,22,0.8663834929466248,SZ_G359.90+59.09,,,3
ComPACT_G302.13873.762,192.63333,10.89167,48,0.9035987854003906,SZ_G302.13+73.73,,,1
ComPACT_G13.54150.929,229.95,9.65833,29,0.9673898816108704,SZ_G013.49+50.92,,,2
ComPACT_G306.895-81.255,12.11667,-35.85,29,0.9312734603881836,SZ_G306.97-81.29,,,2
ComPACT_G45.52716.242,273.55833,18.29167,78,0.998759627342224,SZ_G045.53+16.28,,PSZ2 G045.51+16.26,1
ComPACT_G262.26857.109,172.13333,0.93333,37,0.9503766894340516,SZ_G262.23+57.14,,,1
ComPACT_G180.497-20.412,68.55833,16.75833,23,0.93063223361969,SZ_G180.46-20.42,,,3
ComPACT_G319.220-64.136,1.51667,-51.53333,21,0.929040253162384,SZ_G319.29-64.15,,,3
ComPACT_G264.086-53.802,48.93333,-51.01667,26,0.9552832841873168,SZ_G264.08-53.84,,,2
ComPACT_G78.035-30.422,333.00833,18.225,23,0.9763157963752748,SZ_G078.02-30.39,ACT-CL J2212.0+1813,,3
ComPACT_G34.19934.593,251.73333,15.96667,45,0.995491087436676,SZ_G034.23+34.61,ACT-CL J1646.9+1558,,1
ComPACT_G318.247-77.907,8.79167,-38.73333,24,0.9345921874046326,SZ_G318.40-77.89,,,3
ComPACT_G355.974-59.768,340.33333,-41.55833,37,0.9285379648208618,SZ_G356.04-59.77,,,1
ComPACT_G207.39138.923,136.99167,20.69167,37,0.9910099506378174,SZ_G207.42+38.90,,,1
ComPACT_G18.658-67.436,347.33333,-30.35,34,0.992426872253418,SZ_G018.74-67.42,,,1
ComPACT_G209.207-80.337,23.60833,-26.09167,39,0.984119951725006,SZ_G209.18-80.37,ACT-CL J0134.4-2606,PSZ2 G209.17-80.38,1
ComPACT_G201.122-43.777,58.83333,-10.6,38,0.9282186627388,SZ_G201.08-43.75,,,1
