name,RA,DEC,pmax,S,Priority,z,zType,zSource,zCluster,zCluster_err,zCluster_delta,zZazn,zZazn_err,zZazn_sig1,zZazn_sig2,M500,e_M500,E_M500,mSource,Mact,e_Mact,E_Mact,Mplanck,e_Mplanck,E_Mplanck
ComPACT_G314.840-69.745,6.86667,-46.825,0.9846923351287842,25,3,0.346,spec,ACTDR6,0.35,0.1345948235542452,5.990141077968638,0.3545,0.0437254836223133,1.0,0.998,3.4797989715046445,0.7455500303285787,0.6139999861826912,ACTDR6,3.3472796134678418,1.0818083924997972,0.877005075565485,3.7608874550234375,0.881535715865605,0.7414813043307419
ComPACT_G217.461-64.876,41.025,-26.275,0.8139416575431824,24,3,0.134,phot,PSZ-MCMF,0.15,0.114654849694357,1.2925267051421336,0.1365,0.0366880857414242,0.996,0.98,2.902938504934856,2.311270359013356,3.440745717363081,PSZ-MCMF,,,,2.2164796402924543,0.5592211752926497,0.4645009619445156
ComPACT_G216.896+18.953,121.53333,5.15833,0.9735089540481568,25,3,,,,0.55,0.1545347974141334,0.7273789369639001,,,,,,,,,,,,,,
ComPACT_G340.850-33.390,303.125,-56.84167,0.9824349284172058,38,1,0.056,spec,MCXC2,0.21,0.1206368418523234,0.3389993872500894,0.0599,0.0342153119906163,0.998,0.961,7.039999961853027,0.050000000745058,0.050000000745058,PSZ2,3.9457338029513833,0.5185767801381375,0.4743797003038819,4.15200020742892,0.3900726779680256,0.3630357422420463
ComPACT_G128.221-51.074,16.25,11.65833,0.9933776259422302,37,1,0.504,spec,ACTDR6,0.52,0.1515438013351501,3.907695000050979,0.5097,0.0487355944072398,1.0,0.984,6.429999828338623,0.7799999713897705,0.8899999856948853,PSZ2,7.1189318623174165,1.1768191961578138,1.05305344054096,9.138454298232924,0.7285041439583625,0.6852413427435775
ComPACT_G350.587-40.178,313.875,-48.78333,0.9956300258636476,37,1,,,,0.73,0.1724807738880327,1.870027304467781,,,,,,,,,,,,,,
ComPACT_G233.367+38.413,145.56667,2.28333,0.8692220449447632,27,2,,,,0.7100000000000001,0.1704867765020439,1.2268901131768697,,,,,,,,,,,,,,
ComPACT_G123.562-66.812,13.10833,-3.94167,0.9392150640487672,69,1,,,,0.2,0.119639843159329,0.474839363487644,,,,,,,,,,,,,,
ComPACT_G184.233-23.742,68.025,11.98333,0.9314626455307008,21,3,,,,,,,,,,,,,,,,,,,,
ComPACT_G5.298-74.718,356.64167,-33.275,0.9995802044868468,57,1,0.667,phot,ACTDR5,,,,,,,,7.133215236203737,1.2515778376906612,1.0647578327134035,ACTDR6,7.830307654048239,1.6334519828932526,1.422183616472985,7.574206185108968,1.654021030465365,1.4070347791766262
ComPACT_G282.623-54.856,35.39167,-58.575,0.9704588055610656,38,1,0.226,phot,RASS-MCMF,0.19,0.1186428444663346,1.4935366272059103,0.2408,0.0400550609660881,0.996,0.982,2.5096,,,RASS-MCMF,3.155122575508758,1.0001276013900255,0.8131452108185668,3.505783996975859,0.5608672571098325,0.4973969481960694
ComPACT_G4.630-34.932,307.58333,-37.375,0.9386866688728333,25,3,,,,,,,,,,,,,,,,,,,,
ComPACT_G218.424-61.608,44.7,-26.20833,0.9823130965232848,32,1,0.742,phot,MARD-Y3,0.7100000000000001,0.1704867765020439,2.220185672945084,0.728,0.0557826767806256,0.999,0.989,3.051746497791549,0.7576667326797931,0.6069719030357325,ACTDR6,3.995996070485936,3.3070203136976764,1.949940414644847,,,
ComPACT_G89.653-74.573,4.20833,-13.98333,0.993803858757019,42,1,,,,0.65,0.1645047843440774,0.7382798788795384,,,,,,,,,,,,,,
ComPACT_G209.738-20.010,83.56667,-6.28333,0.9445424675941468,22,3,,,,,,,,,,,,,,,,,,,,
ComPACT_G233.133-54.770,53.25833,-33.35,0.9926316738128662,34,1,0.4309,phot,zaznobin,0.16,0.1156518483873514,0.435739627879667,0.4309,0.04619180104479,0.984,0.996,,,,,,,,,,
ComPACT_G231.778-77.377,26.75,-30.51667,0.9961965084075928,33,1,0.83,phot,ACTDR6,0.85,0.1844447582039656,7.126860594501439,,,,,2.7646755032107637,0.6768712624623832,0.5437466132444294,ACTDR6,2.278745564795611,2.553668673214767,2.588983078628969,3.489451839981938,3.4874412472255094,1.7001587083610594
ComPACT_G214.474+25.669,126.61667,10.13333,0.9533482789993286,21,3,,,,0.33,0.1326008261682564,1.12837368187492,,,,,,,,,,,,,,
ComPACT_G15.987+30.682,248.21667,0.55,0.9832949042320251,22,3,0.394,spec,ACT-MCMF,0.41,0.1405768157122116,4.9174411362790735,0.4158,0.0457043482557926,0.992,0.942,3.2296162017081755,0.7575107684990544,0.6135919596224566,ACTDR6,3.0104665619870667,3.382679675156591,2.062774766907191,,,
ComPACT_G229.001+38.516,143.83333,5.23333,0.9917398691177368,33,1,,,,0.85,0.1844447582039656,2.3832877161974,,,,,,,,,,,,,,
ComPACT_G257.630-44.522,64.9,-50.0,0.9886866807937622,24,3,,,,0.92,0.1914237490549265,1.6153229125189057,,,,,,,,,,,,,,
ComPACT_G67.957-52.616,343.0,-2.99167,0.8208926320075989,21,3,0.93,phot,MaDCoWS_II,0.47,0.1465588078701781,3.0357004808925927,,,,,5.395607257453048,1.7054678624580382,1.355072243567922,yplanck,,,,5.395607257453048,1.7054678624580382,1.355072243567922
ComPACT_G309.153+62.441,195.73333,-0.29167,0.9947047829627992,29,2,,,,0.56,0.1555317961071278,0.6021609394119432,,,,,,,,,,,,,,
ComPACT_G85.303-53.775,351.68333,2.79167,0.959730863571167,38,1,0.58,phot,MaDCoWS_II,0.51,0.1505468026421557,0.9551433937945606,,,,,,,,,,,,,,
ComPACT_G79.325-35.201,337.10833,15.29167,0.922993004322052,23,3,,,,0.56,0.1555317961071278,0.7995648102594575,,,,,,,,,,,,,,
ComPACT_G252.788-27.598,90.15833,-45.78333,0.9083541631698608,21,3,,,,0.2,0.119639843159329,0.7657608019869915,,,,,,,,,,,,,,
ComPACT_G210.058+24.347,123.68333,13.21667,0.9414725303649902,28,2,,,,0.22,0.1216338405453179,0.6160063548364336,,,,,,,,,,,,,,
ComPACT_G245.049-54.750,52.65,-40.2,0.9308148622512816,34,1,,,,0.18,0.1176458457733402,0.2560683130088266,,,,,,,,,,,,,,
